"Story","Title","Result","Date","Stability","Duration (s)"
"User CRUD test","This will create a new user","SUCCESS","2022-06-07T22:43:56.808+01:00[Europe/London]","0.0","0.89"
"User CRUD test","Verify if the user was added to the records list","ERROR","2022-06-07T22:43:57.719+01:00[Europe/London]","0.0","0.12"
"User CRUD test","This will login a user","FAILURE","2022-06-07T22:43:57.898+01:00[Europe/London]","0.0","0.12"
"User CRUD test","Update the user information and verify the updated information","SUCCESS","2022-06-07T22:43:58.023+01:00[Europe/London]","0.0","0.15"
"User CRUD test","Delete the student and verify if the student is deleted!","SUCCESS","2022-06-07T22:43:58.178+01:00[Europe/London]","0.0","0.12"
