"Story","Title","Result","Date","Stability","Duration (s)"
"User CRUD test","Verify if the user was added to the records list","ERROR","2022-06-07T22:43:57.719+01:00[Europe/London]","0.0","0.12"
"User CRUD test","This will login a user","FAILURE","2022-06-07T22:43:57.898+01:00[Europe/London]","0.0","0.12"
